,Place,Date,Temperature,Humidity
0,DEUSTU,2020-03-15 07:00:10,"7,3","80,70"
1,DEUSTU,2020-03-15 07:00:10,"7,2","81,00"
2,DEUSTU,2020-03-15 07:00:10,"7,2","80,70"
3,DEUSTU,2020-03-15 07:00:10,"7,1","80,70"
4,DEUSTU,2020-03-15 07:00:10,"7,0","81,00"
5,DEUSTU,2020-03-15 07:00:10,"6,9","81,70"
6,DEUSTU,2020-03-15 07:00:10,"6,8","81,90"
7,DEUSTU,2020-03-15 07:00:10,"6,5","83,10"
8,DEUSTU,2020-03-15 07:00:10,"6,3","83,60"
9,DEUSTU,2020-03-15 07:00:10,"6,4","83,00"
10,DEUSTU,2020-03-15 07:00:10,"6,4","82,60"
11,DEUSTU,2020-03-15 07:00:10,"6,3","83,00"
12,DEUSTU,2020-03-15 07:00:10,"6,1","83,70"
13,DEUSTU,2020-03-15 07:00:10,"6,1","83,60"
14,DEUSTU,2020-03-15 07:00:10,"6,1","82,80"
15,DEUSTU,2020-03-15 07:00:10,"6,2","81,90"
16,DEUSTU,2020-03-15 07:00:10,"6,0","81,70"
17,DEUSTU,2020-03-15 07:00:10,"6,0","81,80"
18,DEUSTU,2020-03-15 07:00:10,"5,9","82,30"
19,DEUSTU,2020-03-15 07:00:10,"5,8","83,00"
20,DEUSTU,2020-03-15 07:00:10,"5,9","82,50"
21,DEUSTU,2020-03-15 07:00:10,"6,0","81,10"
22,DEUSTU,2020-03-15 07:00:10,"5,9","81,60"
23,DEUSTU,2020-03-15 07:00:10,"6,0","81,40"
24,DEUSTU,2020-03-15 07:00:10,"5,9","81,10"
25,DEUSTU,2020-03-15 07:00:10,"6,0","80,80"
26,DEUSTU,2020-03-15 07:00:10,"6,1","80,20"
27,DEUSTU,2020-03-15 07:00:10,"6,1","79,97"
28,DEUSTU,2020-03-15 07:00:10,"5,9","80,00"
29,DEUSTU,2020-03-15 07:00:10,"6,0","79,54"
30,DEUSTU,2020-03-15 07:00:10,"6,0","79,10"
31,DEUSTU,2020-03-15 07:00:10,"5,9","79,38"
32,DEUSTU,2020-03-15 07:00:10,"5,9","78,50"
33,DEUSTU,2020-03-15 07:00:10,"5,9","79,01"
34,DEUSTU,2020-03-15 07:00:10,"5,8","79,28"
35,DEUSTU,2020-03-15 07:00:10,"5,9","78,58"
36,DEUSTU,2020-03-15 07:00:10,"5,9","78,92"
37,DEUSTU,2020-03-15 07:00:10,"5,8","79,39"
38,DEUSTU,2020-03-15 07:00:10,"5,8","79,55"
39,DEUSTU,2020-03-15 07:00:10,"5,8","79,97"
40,DEUSTU,2020-03-15 07:00:10,"5,7","79,92"
