;Place;Date;Temperature;Humidity
0;DEUSTU;15/03/2020 7:00;7,30;80,70
1;DEUSTU;15/03/2020 7:00;7,20;81,00
2;DEUSTU;15/03/2020 7:00;7,20;80,70
3;DEUSTU;15/03/2020 7:00;7,10;80,70
4;DEUSTU;15/03/2020 7:00;7,00;81,00
5;DEUSTU;15/03/2020 7:00;6,90;81,70
6;DEUSTU;15/03/2020 7:00;6,80;81,90
7;DEUSTU;15/03/2020 7:00;6,50;83,10
8;DEUSTU;15/03/2020 7:00;6,30;83,60
9;DEUSTU;15/03/2020 7:00;6,40;83,00
10;DEUSTU;15/03/2020 7:00;6,40;82,60
11;DEUSTU;15/03/2020 7:00;6,30;83,00
12;DEUSTU;15/03/2020 7:00;6,10;83,70
13;DEUSTU;15/03/2020 7:00;6,10;83,60
14;DEUSTU;15/03/2020 7:00;6,10;82,80
15;DEUSTU;15/03/2020 7:00;6,20;81,90
16;DEUSTU;15/03/2020 7:00;6,00;81,70
17;DEUSTU;15/03/2020 7:00;6,00;81,80
18;DEUSTU;15/03/2020 7:00;5,90;82,30
19;DEUSTU;15/03/2020 7:00;5,80;83,00
20;DEUSTU;15/03/2020 7:00;5,90;82,50
21;DEUSTU;15/03/2020 7:00;6,00;81,10
22;DEUSTU;15/03/2020 7:00;5,90;81,60
23;DEUSTU;15/03/2020 7:00;6,00;81,40
24;DEUSTU;15/03/2020 7:00;5,90;81,10
25;DEUSTU;15/03/2020 7:00;6,00;80,80
26;DEUSTU;15/03/2020 7:00;6,10;80,20
27;DEUSTU;15/03/2020 7:00;6,10;79,97
28;DEUSTU;15/03/2020 7:00;5,90;80,00
29;DEUSTU;15/03/2020 7:00;6,00;79,54
30;DEUSTU;15/03/2020 7:00;6,00;79,10
31;DEUSTU;15/03/2020 7:00;5,90;79,38
32;DEUSTU;15/03/2020 7:00;5,90;78,50
33;DEUSTU;15/03/2020 7:00;5,90;79,01
34;DEUSTU;15/03/2020 7:00;5,80;79,28
35;DEUSTU;15/03/2020 7:00;5,90;78,58
36;DEUSTU;15/03/2020 7:00;5,90;78,92
37;DEUSTU;15/03/2020 7:00;5,80;79,39
